First column name,Second column name,Correlation value
Gehaltshöhe,Job Sicherheit (unbefristete Anstellung),0.658788783
Job Sicherheit (unbefristete Anstellung),"Anstellungsart (Teilzeit, Vollzeit)",0.578947266
Büroausstattung,Job Sicherheit (unbefristete Anstellung),0.526953667
"Arbeitsmodell (hybrid, remote, vor Ort)",Work-Life-Balance,0.52640205
Unternehmenskultur,Gesundheitsförderung,0.51544957
Büroausstattung,"Anstellungsart (Teilzeit, Vollzeit)",0.511889506
Mentorship,Gesundheitsförderung,0.491605144
Fortbildungsmöglichkeiten,Ausstattung von Software und Hardware,0.487366913
Unternehmenskultur,Flexible Arbeitszeiten,0.4713997
Gehaltshöhe,Work-Life-Balance,0.467522336
Gesundheitsförderung,Work-Life-Balance,0.461515516
Selbstverwirklichung,Wertschätzung,0.446545609
Fortbildungsmöglichkeiten,"Arbeitsmodell (hybrid, remote, vor Ort)",0.441349632
Unternehmenskultur,Wertschätzung,0.440629485
Ausstattung von Software und Hardware,Büroausstattung,0.440037318
Gesundheitsförderung,Wertschätzung,0.428867766
Ausstattung von Software und Hardware,Job Sicherheit (unbefristete Anstellung),0.422591107
"Anstellungsart (Teilzeit, Vollzeit)",Work-Life-Balance,0.414298478
Fortbildungsmöglichkeiten,Flexible Arbeitszeiten,0.408030591
Sinnstiftende Aufgaben,Gesundheitsförderung,0.407368119
"Anstellungsart (Teilzeit, Vollzeit)",Mentorship,0.404575144
Gehaltshöhe,Ausstattung von Software und Hardware,0.401136984
Unternehmenskultur,Mentorship,0.394335025
Flexible Arbeitszeiten,Work-Life-Balance,0.388081633
"Anstellungsart (Teilzeit, Vollzeit)",Gesundheitsförderung,0.387758748
Ausstattung von Software und Hardware,Gesundheitsförderung,0.387371974
"Arbeitsmodell (hybrid, remote, vor Ort)",Gesundheitsförderung,0.377428859
Ausstattung von Software und Hardware,Private Internetnutzung,0.37367348
Unternehmenskultur,Work-Life-Balance,0.373510261
Gehaltshöhe,Flexible Arbeitszeiten,0.366269605
Gehaltshöhe,Fortbildungsmöglichkeiten,0.363525205
Fortbildungsmöglichkeiten,Wertschätzung,0.363093301
Flexible Arbeitszeiten,Gesundheitsförderung,0.36288811
"Arbeitsmodell (hybrid, remote, vor Ort)",Mentorship,0.362782016
Private Internetnutzung,Gesundheitsförderung,0.362645625
Fortbildungsmöglichkeiten,Work-Life-Balance,0.353981738
Büroausstattung,Private Internetnutzung,0.348407037
Ausstattung von Software und Hardware,Wertschätzung,0.346993794
Ausstattung von Software und Hardware,Flexible Arbeitszeiten,0.346993794
